MONTH,Year,DISEASE,GENDER,NATIONALITY,AGE_GROUP,Detected Cases
03,2015,Heart disease,Male,Israeli,30-39,9
02,2015,CKD,Male,Israeli,40-49,18
02,2015,Heart disease,Male,Israeli,40-49,26
02,2015,Hypertension,Male,Israeli,40-49,5
06,2015,Obesity,Male,Israeli,40-49,16
01,2012,Diabetes,Male,Israeli,60-69,84
09,2015,CKD,Male,Israeli,60-69,60
09,2015,Heart disease,Male,Israeli,60-69,105
09,2015,Dyslipidemia,Male,Israeli,60-69,91
06,2009,Heart disease,Male,Israeli,70+,236
08,2010,CKD,Male,Israeli,70+,24
08,2010,Hypertension,Male,Israeli,70+,19
01,2012,Heart disease,Male,Israeli,70+,160
09,2012,Heart disease,Male,Israeli,60-69,104
12,2019,Dyslipidemia,Male,Israeli,60-69,16
09,2020,Hypertension,Male,Israeli,60-69,6
02,2018,Dyslipidemia,Female,Israeli,60-69,92
02,2018,Hypertension,Female,Israeli,60-69,33
03,2018,CKD,Female,Israeli,60-69,36
12,2015,CKD,Male,Israeli,50-59,52
12,2015,Heart disease,Male,Israeli,50-59,73
12,2015,Hypertension,Male,Israeli,50-59,21
04,2018,Dyslipidemia,Male,Israeli,70+,225
04,2018,Heart disease,Male,Israeli,70+,204
06,2017,Obesity,Female,Israeli,40-49,3
10,2009,CKD,Female,Israeli,70+,193
10,2009,Heart disease,Female,Israeli,70+,255
10,2009,Hypertension,Female,Israeli,70+,99
07,2018,CKD,Male,Israeli,50-59,49
07,2018,Dyslipidemia,Male,Israeli,50-59,89
07,2018,Nash,Male,Israeli,50-59,22
11,2012,Diabetes,Male,Israeli,70+,94
09,2012,Heart disease,Male,Ethiopian,70+,3
10,2013,Diabetes,Male,Israeli,20-29,1
01,2009,Dyslipidemia,Female,Israeli,60-69,35
01,2009,Heart disease,Female,Israeli,60-69,61
02,2012,CKD,Female,Israeli,60-69,26
09,2015,Hypertension,Female,Israeli,60-69,29
03,2019,CKD,Male,Israeli,30-39,3
09,2012,Diabetes,Female,Israeli,60-69,47
09,2012,CKD,Female,Israeli,60-69,37
09,2012,Heart disease,Female,Israeli,60-69,51
09,2012,Hypertension,Female,Israeli,60-69,15
01,2016,Obesity,Female,Israeli,60-69,17
01,2016,Nash,Female,Israeli,60-69,4
09,2017,Dyslipidemia,Female,Israeli,60-69,22
02,2009,Diabetes,Female,Russian,30-39,2
12,2015,Diabetes,Male,Israeli,60-69,75
12,2015,Heart disease,Male,Israeli,60-69,119
12,2015,Obesity,Male,Israeli,60-69,45
01,2018,CKD,Male,Israeli,60-69,73
01,2018,Hypertension,Male,Israeli,60-69,53
02,2019,Obesity,Female,Israeli,60-69,3
07,2019,Heart disease,Female,Israeli,60-69,9
06,2015,Nash,Male,Moroccan,50-59,2
08,2018,Diabetes,Male,Israeli,70+,95
08,2018,CKD,Male,Israeli,70+,128
08,2018,Dyslipidemia,Male,Israeli,70+,228
08,2018,Hypertension,Male,Israeli,70+,127
11,2015,CKD,Male,Sirian,50-59,1
11,2015,Heart disease,Male,Sirian,50-59,1
03,2009,CKD,Male,Israeli,40-49,29
08,2012,Heart disease,Female,Israeli,70+,177
03,2015,Dyslipidemia,Female,Bilorussian,60-69,1
12,2012,Diabetes,Female,Israeli,50-59,32
12,2012,Heart disease,Female,Israeli,50-59,22
11,2016,Dyslipidemia,Female,Israeli,50-59,24
01,2019,Hypertension,Female,Israeli,50-59,9
05,2016,CKD,Male,Israeli,40-49,12
05,2016,Diabetes,Male,Israeli,40-49,7
08,2015,Diabetes,Female,Israeli,60-69,39
12,2018,Diabetes,Female,Israeli,30-39,14
12,2018,Obesity,Female,Israeli,30-39,13
05,2015,Heart disease,Male,Israeli,60-69,108
11,2015,Heart disease,Male,Israeli,40-49,34
03,2014,CKD,Male,Israeli,70+,11
03,2014,Diabetes,Male,Israeli,70+,9
03,2014,Hypertension,Male,Israeli,70+,6
03,2014,Obesity,Male,Israeli,70+,1
03,2014,Heart disease,Male,Israeli,70+,7
01,2018,Dyslipidemia,Female,Israeli,50-59,53
04,2012,CKD,Female,Israeli,50-59,27
04,2012,Dyslipidemia,Female,Israeli,50-59,16
07,2012,Diabetes,Female,Israeli,50-59,41
06,2015,CKD,Male,Israeli,60-69,74
06,2015,Diabetes,Male,Israeli,60-69,82
06,2015,Hypertension,Male,Israeli,60-69,45
06,2015,Heart disease,Male,Israeli,60-69,131
06,2015,Nash,Male,Israeli,60-69,21
12,2015,CKD,Male,Rumanian,50-59,2
12,2015,Obesity,Male,Rumanian,50-59,1
04,2009,Obesity,Female,Turkish,40-49,1
02,2018,Heart disease,Male,Israeli,70+,177
02,2018,Obesity,Male,Israeli,70+,21
03,2020,CKD,Male,Israeli,70+,5
03,2020,Dyslipidemia,Male,Israeli,70+,11
03,2020,Hypertension,Male,Israeli,70+,8
12,2009,Heart disease,Female,Ucranian,70+,9
07,2009,Diabetes,Male,Israeli,60-69,97
11,2012,Obesity,Female,Israeli,20-29,11
09,2012,Diabetes,Female,Israeli,50-59,37
04,2009,CKD,Female,Polonian,40-49,1
04,2009,Nash,Female,Polonian,40-49,1
05,2015,CKD,Male,Ethiopian,50-59,3
01,2009,Heart disease,Female,Israeli,70+,214
01,2009,CKD,Female,Israeli,70+,116
01,2009,Dyslipidemia,Female,Israeli,70+,65
01,2009,Hypertension,Female,Israeli,70+,67
04,2012,CKD,Male,Iranian,70+,2
04,2012,Dyslipidemia,Male,Iranian,70+,1
04,2012,Heart disease,Male,Iranian,70+,4
04,2012,Hypertension,Male,Iranian,70+,2
04,2009,Diabetes,Female,Israeli,30-39,17
09,2012,Diabetes,Male,Israeli,50-59,39
09,2012,Heart disease,Male,Israeli,50-59,69
03,2009,Heart disease,Male,Israeli,70+,239
03,2009,CKD,Male,Israeli,70+,148
03,2009,Dyslipidemia,Male,Israeli,70+,68
03,2009,Hypertension,Male,Israeli,70+,101
03,2009,Diabetes,Male,Israeli,70+,123
04,2009,Heart disease,Female,Israeli,50-59,31
09,2013,Obesity,Female,Israeli,20-29,7
06,2012,CKD,Male,Israeli,70+,137
06,2012,Heart disease,Male,Israeli,70+,179
01,2013,Hypertension,Male,Israeli,70+,19
10,2018,Dyslipidemia,Male,Israeli,70+,202
04,2016,Nash,Male,Israeli,50-59,8
05,2012,Heart disease,Male,Israeli,60-69,95
05,2009,Dyslipidemia,Male,Iranian,70+,1
05,2009,Diabetes,Male,Iranian,70+,1
08,2012,CKD,Female,Rumanian,70+,2
08,2012,Hypertension,Female,Rumanian,70+,1
05,2015,CKD,Female,Israeli,70+,138
05,2015,Heart disease,Female,Israeli,70+,175
12,2015,Dyslipidemia,Female,Israeli,70+,137
12,2015,Hypertension,Female,Israeli,70+,70
01,2018,CKD,Male,Israeli,70+,158
01,2018,Dyslipidemia,Male,Israeli,70+,241
01,2018,Heart disease,Male,Israeli,70+,209
01,2018,Hypertension,Male,Israeli,70+,146
01,2020,Dyslipidemia,Male,Israeli,40-49,5
12,2015,Obesity,Female,Rumanian,20-29,2
11,2012,Heart disease,Male,Israeli,70+,185
05,2015,Obesity,Male,Israeli,30-39,9
09,2016,Dyslipidemia,Female,Israeli,70+,34
12,2012,Heart disease,Male,Israeli,60-69,95
12,2018,CKD,Female,Israeli,60-69,34
12,2018,Dyslipidemia,Female,Israeli,60-69,105
12,2018,Hypertension,Female,Israeli,60-69,28
12,2018,Nash,Female,Israeli,60-69,17
04,2015,Dyslipidemia,Female,Israeli,70+,125
04,2015,Heart disease,Female,Israeli,70+,184
06,2010,CKD,Female,Israeli,50-59,6
06,2010,Heart disease,Female,Israeli,50-59,4
07,2010,Hypertension,Female,Israeli,50-59,1
01,2016,Dyslipidemia,Female,Israeli,50-59,16
10,2016,Dyslipidemia,Female,Israeli,40-49,13
05,2015,CKD,Female,Israeli,50-59,20
05,2015,Heart disease,Female,Israeli,50-59,40
07,2018,CKD,Male,Israeli,40-49,31
07,2018,Dyslipidemia,Male,Israeli,40-49,32
07,2018,Diabetes,Male,Israeli,40-49,15
07,2012,CKD,Female,Israeli,60-69,41
03,2009,Heart disease,Female,Israeli,40-49,13
05,2014,Diabetes,Male,Polonian,60-69,1
06,2018,Heart disease,Male,Polonian,60-69,1
01,2009,Heart disease,Male,Israeli,70+,223
03,2015,Heart disease,Male,Israeli,70+,192
04,2015,Diabetes,Female,Israeli,70+,104
04,2015,CKD,Female,Israeli,70+,113
04,2015,Hypertension,Female,Israeli,70+,67
06,2016,Obesity,Female,Israeli,70+,6
08,2016,Dyslipidemia,Female,Israeli,70+,39
11,2009,Diabetes,Male,Israeli,40-49,21
07,2018,CKD,Female,Israeli,70+,111
07,2018,Dyslipidemia,Female,Israeli,70+,219
07,2018,Heart disease,Female,Israeli,70+,167
07,2018,Hypertension,Female,Israeli,70+,128
01,2012,Heart disease,Female,Israeli,50-59,37
04,2009,Heart disease,Male,Israeli,70+,244
04,2009,Diabetes,Male,Israeli,70+,148
05,2018,CKD,Female,Israeli,70+,119
05,2018,Diabetes,Female,Israeli,70+,95
05,2018,Hypertension,Female,Israeli,70+,134
05,2018,Dyslipidemia,Female,Israeli,70+,237
05,2018,Heart disease,Female,Israeli,70+,172
05,2018,Nash,Female,Israeli,70+,14
10,2012,CKD,Male,Israeli,50-59,53
10,2012,Heart disease,Male,Israeli,50-59,78
10,2012,Diabetes,Male,Israeli,50-59,45
12,2012,Dyslipidemia,Male,Israeli,50-59,20
12,2012,Obesity,Male,Israeli,50-59,26
01,2009,Heart disease,Female,Israeli,50-59,33
11,2011,CKD,Female,Israeli,50-59,6
11,2011,Hypertension,Female,Israeli,50-59,3
11,2011,Obesity,Female,Israeli,50-59,2
11,2011,Diabetes,Female,Israeli,50-59,2
09,2014,Heart disease,Female,Israeli,70+,21
06,2012,Hypertension,Male,Israeli,70+,80
06,2014,Dyslipidemia,Male,Israeli,70+,13
08,2012,Diabetes,Female,Israeli,60-69,56
08,2013,Diabetes,Female,Israeli,30-39,4
05,2009,CKD,Male,Israeli,30-39,11
05,2009,CKD,Male,Israeli,70+,159
05,2009,Hypertension,Male,Israeli,70+,99
12,2009,CKD,Female,Israeli,70+,182
12,2009,Heart disease,Female,Israeli,70+,257
12,2009,Hypertension,Female,Israeli,70+,102
01,2009,CKD,Male,Israeli,60-69,69
01,2009,Heart disease,Male,Israeli,60-69,110
01,2009,Diabetes,Male,Israeli,60-69,88
10,2015,CKD,Male,Israeli,60-69,70
10,2015,Dyslipidemia,Male,Israeli,60-69,94
10,2015,Obesity,Male,Israeli,60-69,40
11,2015,Diabetes,Male,Israeli,60-69,83
04,2016,Heart disease,Male,Israeli,60-69,20
11,2016,Hypertension,Male,Israeli,60-69,16
04,2017,Dyslipidemia,Female,Israeli,70+,41
05,2015,Hypertension,Female,Israeli,70+,89
03,2016,Obesity,Female,Israeli,50-59,10
12,2015,CKD,Male,Rumanian,60-69,1
12,2015,Dyslipidemia,Male,Rumanian,60-69,2
12,2015,Hypertension,Male,Rumanian,60-69,1
12,2015,Nash,Male,Rumanian,60-69,1
07,2011,CKD,Male,Russian,60-69,1
07,2011,Hypertension,Male,Russian,60-69,1
12,2016,Heart disease,Male,Russian,60-69,1
04,2017,Dyslipidemia,Male,Russian,60-69,2
04,2018,Diabetes,Female,Israeli,60-69,41
04,2018,Dyslipidemia,Female,Israeli,60-69,89
04,2018,Heart disease,Female,Israeli,60-69,64
04,2018,Obesity,Female,Israeli,60-69,37
07,2018,CKD,Female,Israeli,60-69,48
07,2018,Hypertension,Female,Israeli,60-69,40
03,2013,Diabetes,Female,Israeli,70+,15
06,2018,Dyslipidemia,Female,Israeli,70+,226
09,2013,Nash,Female,Israeli,60-69,2
08,2012,Heart disease,Female,Moroccan,70+,6
04,2018,CKD,Female,Israeli,70+,109
04,2018,Dyslipidemia,Female,Israeli,70+,245
04,2018,Heart disease,Female,Israeli,70+,183
04,2018,Hypertension,Female,Israeli,70+,129
02,2012,Dyslipidemia,Female,Israeli,70+,53
02,2012,Diabetes,Female,Israeli,70+,89
06,2015,Heart disease,Female,Israeli,70+,154
08,2014,Nash,Male,Israeli,40-49,2
08,2012,Heart disease,Male,Israeli,60-69,106
09,2018,Obesity,Male,Israeli,30-39,6
05,2015,Nash,Female,Israeli,70+,12
12,2018,Diabetes,Male,Israeli,70+,89
12,2018,CKD,Male,Israeli,70+,174
12,2018,Heart disease,Male,Israeli,70+,198
12,2018,Hypertension,Male,Israeli,70+,146
09,2012,CKD,Male,Polonian,50-59,2
09,2012,Dyslipidemia,Male,Polonian,50-59,1
09,2012,Diabetes,Male,Polonian,50-59,1
12,2013,Hypertension,Male,Polonian,50-59,1
12,2013,Obesity,Male,Polonian,50-59,2
11,2015,CKD,Male,Israeli,70+,138
11,2015,Diabetes,Male,Israeli,70+,110
11,2015,Hypertension,Male,Israeli,70+,80
11,2015,Dyslipidemia,Male,Israeli,70+,134
11,2015,Heart disease,Male,Israeli,70+,206
11,2009,Heart disease,Male,Israeli,70+,269
02,2019,Obesity,Female,Israeli,20-29,9
11,2012,CKD,Male,Israeli,60-69,59
11,2012,Diabetes,Male,Israeli,60-69,73
11,2012,Hypertension,Male,Israeli,60-69,21
11,2009,Dyslipidemia,Female,Ucranian,70+,3
05,2015,Diabetes,Male,Polonian,60-69,1
05,2015,CKD,Male,Polonian,60-69,2
05,2015,Heart disease,Male,Polonian,60-69,2
05,2015,Hypertension,Male,Polonian,60-69,1
03,2015,CKD,Female,Israeli,70+,123
03,2015,Hypertension,Female,Israeli,70+,66
02,2009,Dyslipidemia,Female,Israeli,70+,77
03,2009,Heart disease,Female,Israeli,70+,226
07,2015,Diabetes,Female,French,50-59,2
07,2015,CKD,Female,French,50-59,1
07,2015,Heart disease,Female,French,50-59,1
06,2015,Dyslipidemia,Female,Israeli,60-69,70
06,2015,Diabetes,Female,Israeli,60-69,56
09,2014,Nash,Female,Rumanian,30-39,1
09,2014,Obesity,Female,Rumanian,30-39,1
12,2018,CKD,Female,Rumanian,30-39,1
12,2018,Hypertension,Female,Rumanian,30-39,1
05,2009,Diabetes,Male,Israeli,60-69,84
08,2018,Heart disease,Female,Tunisian,60-69,1
03,2012,Heart disease,Male,Russian,70+,4
06,2014,CKD,Male,Russian,70+,1
01,2009,Dyslipidemia,Male,Israeli,60-69,28
05,2009,Dyslipidemia,Male,Israeli,70+,59
12,2012,CKD,Female,Israeli,60-69,42
12,2012,Diabetes,Female,Israeli,60-69,51
06,2014,Obesity,Female,Israeli,60-69,6
07,2014,Hypertension,Female,Israeli,60-69,6
11,2009,Heart disease,Male,Iraqui,70+,4
11,2009,CKD,Male,Iraqui,70+,4
12,2009,Diabetes,Female,Israeli,70+,167
04,2010,CKD,Female,Israeli,70+,38
12,2012,CKD,Male,Israeli,70+,158
12,2012,Dyslipidemia,Male,Israeli,70+,63
12,2012,Heart disease,Male,Israeli,70+,227
02,2015,Dyslipidemia,Female,Israeli,70+,109
05,2017,Dyslipidemia,Male,Israeli,30-39,1
05,2017,Heart disease,Male,Israeli,30-39,2
05,2017,Obesity,Male,Israeli,30-39,3
09,2009,Diabetes,Male,Israeli,30-39,4
11,2013,Diabetes,Male,Polonian,40-49,1
11,2013,Heart disease,Male,Polonian,40-49,1
11,2013,Obesity,Male,Polonian,40-49,1
09,2017,Heart disease,Male,Israeli,40-49,7
09,2017,Obesity,Male,Israeli,40-49,4
10,2015,CKD,Male,Turkish,70+,3
10,2015,Heart disease,Male,Turkish,70+,4
10,2015,Hypertension,Male,Turkish,70+,4
12,2018,Heart disease,Female,Iranian,50-59,1
12,2018,Diabetes,Female,Iranian,50-59,2
12,2018,Nash,Female,Iranian,50-59,1
05,2019,Dyslipidemia,Female,Iranian,50-59,1
02,2009,CKD,Female,Israeli,30-39,8
03,2017,CKD,Female,Israeli,60-69,7
03,2017,Obesity,Female,Israeli,60-69,11
03,2017,Dyslipidemia,Female,Israeli,60-69,25
03,2017,Nash,Female,Israeli,60-69,5
05,2019,Hypertension,Female,Israeli,60-69,13
05,2019,Heart disease,Female,Israeli,60-69,8
02,2012,CKD,Male,Israeli,70+,110
02,2012,Heart disease,Male,Israeli,70+,164
02,2012,Hypertension,Male,Israeli,70+,72
12,2011,Dyslipidemia,Female,Israeli,70+,12
02,2015,Dyslipidemia,Male,Rumanian,40-49,1
02,2015,Heart disease,Male,Rumanian,40-49,2
02,2015,Obesity,Male,Rumanian,40-49,1
10,2009,Dyslipidemia,Male,Israeli,60-69,41
10,2009,Diabetes,Male,Israeli,60-69,92
06,2016,Dyslipidemia,Male,Argentinian,70+,2
06,2016,Heart disease,Male,Argentinian,70+,1
07,2009,Diabetes,Male,Israeli,40-49,32
10,2009,Heart disease,Male,Israeli,70+,273
04,2009,Obesity,Female,French,60-69,2
01,2015,Dyslipidemia,Female,Polonian,60-69,2
01,2015,Heart disease,Female,Polonian,60-69,1
02,2016,Obesity,Female,Polonian,60-69,1
10,2015,Heart disease,Female,Israeli,70+,184
10,2015,Diabetes,Female,Israeli,70+,90
05,2019,Dyslipidemia,Female,Israeli,70+,24
05,2019,Hypertension,Female,Israeli,70+,13
01,2021,CKD,Female,Israeli,70+,5
02,2012,Diabetes,Female,Tunisian,70+,1
02,2012,Heart disease,Female,Tunisian,70+,1
03,2015,CKD,Male,Israeli,50-59,37
03,2015,Diabetes,Male,Israeli,50-59,52
03,2015,Nash,Male,Israeli,50-59,17
06,2012,Obesity,Female,Israeli,20-29,9
02,2015,CKD,Male,Israeli,70+,97
02,2015,Hypertension,Male,Israeli,70+,65
04,2015,Diabetes,Male,Israeli,50-59,51
04,2015,Heart disease,Male,Israeli,50-59,79
11,2015,Heart disease,Male,Israeli,60-69,112
11,2015,Obesity,Male,Israeli,60-69,50
08,2018,CKD,Male,Israeli,60-69,86
08,2018,Dyslipidemia,Male,Israeli,60-69,149
08,2018,Nash,Male,Israeli,60-69,27
08,2018,Obesity,Male,Israeli,60-69,36
08,2018,Diabetes,Male,Israeli,60-69,69
08,2018,Hypertension,Male,Israeli,60-69,63
08,2018,Heart disease,Male,Israeli,60-69,96
05,2016,Dyslipidemia,Female,Israeli,70+,28
07,2019,Heart disease,Female,Israeli,70+,18
07,2019,Hypertension,Female,Israeli,70+,21
07,2019,CKD,Female,Israeli,70+,19
12,2012,CKD,Male,Israeli,40-49,24
12,2012,Nash,Male,Israeli,40-49,11
12,2015,CKD,Male,Ethiopian,70+,4
12,2015,Dyslipidemia,Male,Ethiopian,70+,3
03,2012,CKD,Male,Israeli,70+,121
03,2012,Heart disease,Male,Israeli,70+,166
03,2012,Hypertension,Male,Israeli,70+,66
04,2012,Heart disease,Male,Israeli,50-59,61
04,2012,Obesity,Male,Israeli,50-59,27
08,2013,Dyslipidemia,Male,Israeli,50-59,6
03,2016,Diabetes,Male,Israeli,50-59,6
07,2018,Dyslipidemia,Male,Russian,70+,6
07,2018,Heart disease,Male,Russian,70+,3
01,2013,CKD,Female,Israeli,60-69,11
01,2014,Heart disease,Female,Israeli,60-69,7
07,2015,Dyslipidemia,Female,Israeli,60-69,70
01,2013,Dyslipidemia,Male,Israeli,60-69,11
10,2012,CKD,Male,Israeli,60-69,64
10,2012,Hypertension,Male,Israeli,60-69,26
10,2012,Heart disease,Male,Israeli,60-69,94
09,2015,Diabetes,Male,Israeli,50-59,60
09,2015,Dyslipidemia,Male,Israeli,50-59,70
09,2015,Heart disease,Male,Israeli,50-59,65
02,2013,Diabetes,Male,Israeli,60-69,3
02,2013,CKD,Male,Israeli,60-69,17
02,2013,Hypertension,Male,Israeli,60-69,10
06,2012,Heart disease,Male,Turkish,70+,2
06,2012,Dyslipidemia,Male,Turkish,70+,1
06,2012,Diabetes,Male,Turkish,70+,1
02,2015,Dyslipidemia,Female,Israeli,60-69,42
11,2018,CKD,Male,Israeli,70+,141
11,2009,CKD,Male,Israeli,70+,205
01,2018,CKD,Male,Israeli,30-39,9
01,2018,Heart disease,Male,Israeli,30-39,8
01,2018,Hypertension,Male,Israeli,30-39,2
07,2009,Heart disease,Female,Israeli,60-69,72
01,2019,Dyslipidemia,Female,Israeli,70+,33
04,2018,Obesity,Male,Israeli,50-59,21
01,2012,Diabetes,Female,Israeli,60-69,57
01,2012,Heart disease,Female,Israeli,60-69,47
10,2012,Obesity,Male,Israeli,50-59,25
11,2013,CKD,Male,Israeli,50-59,8
11,2013,Hypertension,Male,Israeli,50-59,5
06,2016,Nash,Male,Israeli,50-59,7
12,2016,Dyslipidemia,Male,Israeli,50-59,23
06,2015,Dyslipidemia,Female,Libyan,20-29,1
10,2018,CKD,Female,Libyan,20-29,1
10,2018,Diabetes,Female,Libyan,20-29,1
07,2018,Diabetes,Female,Israeli,70+,90
05,2012,Obesity,Female,Israeli,60-69,39
06,2015,Nash,Female,Israeli,60-69,17
06,2018,CKD,Male,Israeli,60-69,59
06,2018,Dyslipidemia,Male,Israeli,60-69,141
06,2018,Nash,Male,Israeli,60-69,13
06,2018,Obesity,Male,Israeli,60-69,32
08,2010,Diabetes,Female,Israeli,70+,7
03,2017,Dyslipidemia,Female,Israeli,70+,36
08,2012,Heart disease,Male,Israeli,70+,196
06,2012,Obesity,Female,Israeli,30-39,15
04,2012,Diabetes,Male,Israeli,60-69,72
04,2012,CKD,Male,Israeli,60-69,57
04,2012,Hypertension,Male,Israeli,60-69,27
05,2015,Diabetes,Male,Israeli,60-69,87
07,2013,Obesity,Male,Israeli,50-59,3
01,2015,Dyslipidemia,Male,Israeli,50-59,35
01,2015,Heart disease,Male,Israeli,50-59,55
03,2015,Dyslipidemia,Female,Israeli,50-59,30
01,2009,Diabetes,Male,Israeli,70+,127
03,2018,Dyslipidemia,Male,Argentinian,60-69,1
03,2018,Heart disease,Male,Argentinian,60-69,3
08,2018,Dyslipidemia,Female,Israeli,60-69,96
08,2018,Heart disease,Female,Israeli,60-69,59
12,2009,Diabetes,Male,Israeli,70+,132
12,2009,CKD,Male,Israeli,70+,177
12,2009,Heart disease,Male,Israeli,70+,248
12,2009,Hypertension,Male,Israeli,70+,120
09,2010,Dyslipidemia,Male,Israeli,70+,7
09,2011,CKD,Female,Israeli,60-69,8
02,2013,Heart disease,Female,Israeli,60-69,14
01,2019,Dyslipidemia,Female,Israeli,60-69,28
06,2018,Dyslipidemia,Male,Russian,60-69,3
06,2018,Diabetes,Male,Russian,60-69,1
06,2018,Obesity,Male,Russian,60-69,2
01,2015,Obesity,Female,Israeli,60-69,41
10,2013,Heart disease,Male,Israeli,60-69,3
02,2015,Heart disease,Female,Israeli,70+,151
09,2020,Dyslipidemia,Female,Israeli,40-49,3
09,2020,Diabetes,Female,Israeli,40-49,1
11,2016,Obesity,Female,Israeli,60-69,5
11,2009,Dyslipidemia,Male,Israeli,70+,75
11,2009,Hypertension,Male,Israeli,70+,122
12,2018,CKD,Female,Ucranian,70+,2
