month,year,disease,nationality,counts,cumulative sum,monthyear,yearquarter,bianual
04,2012,CKD,Algerian,4,101,2012-04-01,2012 Q1,2012-2013
05,2012,CKD,Algerian,2,103,2012-05-01,2012 Q2,2012-2013
06,2012,CKD,Algerian,3,106,2012-06-01,2012 Q2,2012-2013
07,2012,CKD,Algerian,3,109,2012-07-01,2012 Q2,2012-2013
08,2012,CKD,Algerian,2,111,2012-08-01,2012 Q2,2012-2013
09,2012,CKD,Algerian,2,113,2012-09-01,2012 Q3,2012-2013
10,2012,CKD,Algerian,6,119,2012-10-01,2012 Q3,2012-2013
11,2012,CKD,Algerian,8,127,2012-11-01,2012 Q3,2012-2013
12,2012,CKD,Algerian,3,130,2012-12-01,2012 Q3,2012-2013
03,2013,CKD,Algerian,2,132,2013-03-01,2013 Q1,2012-2013
04,2013,CKD,Algerian,1,133,2013-04-01,2013 Q1,2012-2013
06,2013,CKD,Algerian,1,134,2013-06-01,2013 Q2,2012-2013
08,2013,CKD,Algerian,1,135,2013-08-01,2013 Q2,2012-2013
11,2013,CKD,Algerian,1,136,2013-11-01,2013 Q3,2012-2013
12,2013,CKD,Algerian,2,138,2013-12-01,2013 Q3,2012-2013
01,2014,CKD,Algerian,2,140,2014-01-01,2014 Q1,2014-2015
04,2014,CKD,Algerian,1,141,2014-04-01,2014 Q1,2014-2015
07,2014,CKD,Algerian,3,144,2014-07-01,2014 Q2,2014-2015
11,2014,CKD,Algerian,1,145,2014-11-01,2014 Q3,2014-2015
12,2014,CKD,Algerian,1,146,2014-12-01,2014 Q3,2014-2015
01,2015,CKD,Algerian,2,148,2015-01-01,2015 Q1,2014-2015
02,2015,CKD,Algerian,4,152,2015-02-01,2015 Q1,2014-2015
03,2015,CKD,Algerian,3,155,2015-03-01,2015 Q1,2014-2015
04,2015,CKD,Algerian,3,158,2015-04-01,2015 Q1,2014-2015
05,2015,CKD,Algerian,3,161,2015-05-01,2015 Q2,2014-2015
06,2015,CKD,Algerian,4,165,2015-06-01,2015 Q2,2014-2015
07,2015,CKD,Algerian,1,166,2015-07-01,2015 Q2,2014-2015
08,2015,CKD,Algerian,4,170,2015-08-01,2015 Q2,2014-2015
09,2015,CKD,Algerian,2,172,2015-09-01,2015 Q3,2014-2015
10,2015,CKD,Algerian,2,174,2015-10-01,2015 Q3,2014-2015
11,2015,CKD,Algerian,3,177,2015-11-01,2015 Q3,2014-2015
12,2015,CKD,Algerian,5,182,2015-12-01,2015 Q3,2014-2015
01,2016,CKD,Algerian,1,183,2016-01-01,2016 Q1,2016-2017
04,2016,CKD,Algerian,1,184,2016-04-01,2016 Q1,2016-2017
05,2016,CKD,Algerian,1,185,2016-05-01,2016 Q2,2016-2017
06,2016,CKD,Algerian,2,187,2016-06-01,2016 Q2,2016-2017
07,2016,CKD,Algerian,3,190,2016-07-01,2016 Q2,2016-2017
08,2016,CKD,Algerian,1,191,2016-08-01,2016 Q2,2016-2017
09,2016,CKD,Algerian,1,192,2016-09-01,2016 Q3,2016-2017
10,2016,CKD,Algerian,1,193,2016-10-01,2016 Q3,2016-2017
11,2016,CKD,Algerian,1,194,2016-11-01,2016 Q3,2016-2017
12,2016,CKD,Algerian,1,195,2016-12-01,2016 Q3,2016-2017
05,2017,CKD,Algerian,1,196,2017-05-01,2017 Q2,2016-2017
06,2017,CKD,Algerian,1,197,2017-06-01,2017 Q2,2016-2017
07,2017,CKD,Algerian,1,198,2017-07-01,2017 Q2,2016-2017
09,2017,CKD,Algerian,1,199,2017-09-01,2017 Q3,2016-2017
11,2017,CKD,Algerian,1,200,2017-11-01,2017 Q3,2016-2017
01,2018,CKD,Algerian,2,202,2018-01-01,2018 Q1,2018-2019
02,2018,CKD,Algerian,5,207,2018-02-01,2018 Q1,2018-2019
03,2018,CKD,Algerian,4,211,2018-03-01,2018 Q1,2018-2019
04,2018,CKD,Algerian,8,219,2018-04-01,2018 Q1,2018-2019
05,2018,CKD,Algerian,2,221,2018-05-01,2018 Q2,2018-2019
06,2018,CKD,Algerian,7,228,2018-06-01,2018 Q2,2018-2019
07,2018,CKD,Algerian,5,233,2018-07-01,2018 Q2,2018-2019
08,2018,CKD,Algerian,8,241,2018-08-01,2018 Q2,2018-2019
09,2018,CKD,Algerian,2,243,2018-09-01,2018 Q3,2018-2019
10,2018,CKD,Algerian,3,246,2018-10-01,2018 Q3,2018-2019
11,2018,CKD,Algerian,5,251,2018-11-01,2018 Q3,2018-2019
12,2018,CKD,Algerian,8,259,2018-12-01,2018 Q3,2018-2019
03,2019,CKD,Algerian,2,261,2019-03-01,2019 Q1,2018-2019
04,2019,CKD,Algerian,1,262,2019-04-01,2019 Q1,2018-2019
08,2019,CKD,Algerian,1,263,2019-08-01,2019 Q2,2018-2019
06,2020,CKD,Algerian,1,264,2020-06-01,2020 Q2,2020-2021
11,2020,CKD,Algerian,1,265,2020-11-01,2020 Q3,2020-2021
01,2009,Diabetes,Algerian,3,3,2009-01-01,2009 Q1,2008-2009
02,2009,Diabetes,Algerian,8,11,2009-02-01,2009 Q1,2008-2009
03,2009,Diabetes,Algerian,9,20,2009-03-01,2009 Q1,2008-2009
04,2009,Diabetes,Algerian,7,27,2009-04-01,2009 Q1,2008-2009
05,2009,Diabetes,Algerian,5,32,2009-05-01,2009 Q2,2008-2009
06,2009,Diabetes,Algerian,5,37,2009-06-01,2009 Q2,2008-2009
07,2009,Diabetes,Algerian,5,42,2009-07-01,2009 Q2,2008-2009
08,2009,Diabetes,Algerian,7,49,2009-08-01,2009 Q2,2008-2009
09,2009,Diabetes,Algerian,6,55,2009-09-01,2009 Q3,2008-2009
10,2009,Diabetes,Algerian,5,60,2009-10-01,2009 Q3,2008-2009
11,2009,Diabetes,Algerian,4,64,2009-11-01,2009 Q3,2008-2009
12,2009,Diabetes,Algerian,11,75,2009-12-01,2009 Q3,2008-2009
03,2010,Diabetes,Algerian,2,77,2010-03-01,2010 Q1,2010-2011
04,2010,Diabetes,Algerian,1,78,2010-04-01,2010 Q1,2010-2011
05,2010,Diabetes,Algerian,1,79,2010-05-01,2010 Q2,2010-2011
06,2010,Diabetes,Algerian,1,80,2010-06-01,2010 Q2,2010-2011
10,2010,Diabetes,Algerian,2,82,2010-10-01,2010 Q3,2010-2011
01,2011,Diabetes,Algerian,1,83,2011-01-01,2011 Q1,2010-2011
07,2011,Diabetes,Algerian,1,84,2011-07-01,2011 Q2,2010-2011
08,2011,Diabetes,Algerian,1,85,2011-08-01,2011 Q2,2010-2011
12,2011,Diabetes,Algerian,1,86,2011-12-01,2011 Q3,2010-2011
01,2012,Diabetes,Algerian,3,89,2012-01-01,2012 Q1,2012-2013
02,2012,Diabetes,Algerian,3,92,2012-02-01,2012 Q1,2012-2013
03,2012,Diabetes,Algerian,6,98,2012-03-01,2012 Q1,2012-2013
04,2012,Diabetes,Algerian,4,102,2012-04-01,2012 Q1,2012-2013
05,2012,Diabetes,Algerian,2,104,2012-05-01,2012 Q2,2012-2013
06,2012,Diabetes,Algerian,2,106,2012-06-01,2012 Q2,2012-2013
07,2012,Diabetes,Algerian,9,115,2012-07-01,2012 Q2,2012-2013
08,2012,Diabetes,Algerian,5,120,2012-08-01,2012 Q2,2012-2013
09,2012,Diabetes,Algerian,3,123,2012-09-01,2012 Q3,2012-2013
10,2012,Diabetes,Algerian,4,127,2012-10-01,2012 Q3,2012-2013
11,2012,Diabetes,Algerian,4,131,2012-11-01,2012 Q3,2012-2013
12,2012,Diabetes,Algerian,3,134,2012-12-01,2012 Q3,2012-2013
02,2013,Diabetes,Algerian,1,135,2013-02-01,2013 Q1,2012-2013
07,2013,Diabetes,Algerian,1,136,2013-07-01,2013 Q2,2012-2013
10,2013,Diabetes,Algerian,1,137,2013-10-01,2013 Q3,2012-2013
12,2013,Diabetes,Algerian,1,138,2013-12-01,2013 Q3,2012-2013
01,2014,Diabetes,Algerian,1,139,2014-01-01,2014 Q1,2014-2015
11,2014,Diabetes,Algerian,1,140,2014-11-01,2014 Q3,2014-2015
12,2014,Diabetes,Algerian,1,141,2014-12-01,2014 Q3,2014-2015
01,2015,Diabetes,Algerian,6,147,2015-01-01,2015 Q1,2014-2015
02,2015,Diabetes,Algerian,2,149,2015-02-01,2015 Q1,2014-2015
03,2015,Diabetes,Algerian,3,152,2015-03-01,2015 Q1,2014-2015
04,2015,Diabetes,Algerian,1,153,2015-04-01,2015 Q1,2014-2015
05,2015,Diabetes,Algerian,1,154,2015-05-01,2015 Q2,2014-2015
06,2015,Diabetes,Algerian,2,156,2015-06-01,2015 Q2,2014-2015
07,2015,Diabetes,Algerian,2,158,2015-07-01,2015 Q2,2014-2015
08,2015,Diabetes,Algerian,3,161,2015-08-01,2015 Q2,2014-2015
09,2015,Diabetes,Algerian,6,167,2015-09-01,2015 Q3,2014-2015
12,2015,Diabetes,Algerian,4,171,2015-12-01,2015 Q3,2014-2015
04,2016,Diabetes,Algerian,1,172,2016-04-01,2016 Q1,2016-2017
05,2016,Diabetes,Algerian,2,174,2016-05-01,2016 Q2,2016-2017
06,2016,Diabetes,Algerian,1,175,2016-06-01,2016 Q2,2016-2017
09,2016,Diabetes,Algerian,1,176,2016-09-01,2016 Q3,2016-2017
02,2017,Diabetes,Algerian,1,177,2017-02-01,2017 Q1,2016-2017
09,2017,Diabetes,Algerian,1,178,2017-09-01,2017 Q3,2016-2017
11,2017,Diabetes,Algerian,1,179,2017-11-01,2017 Q3,2016-2017
01,2018,Diabetes,Algerian,3,182,2018-01-01,2018 Q1,2018-2019
02,2018,Diabetes,Algerian,5,187,2018-02-01,2018 Q1,2018-2019
03,2018,Diabetes,Algerian,2,189,2018-03-01,2018 Q1,2018-2019
04,2018,Diabetes,Algerian,5,194,2018-04-01,2018 Q1,2018-2019
05,2018,Diabetes,Algerian,4,198,2018-05-01,2018 Q2,2018-2019
06,2018,Diabetes,Algerian,4,202,2018-06-01,2018 Q2,2018-2019
07,2018,Diabetes,Algerian,4,206,2018-07-01,2018 Q2,2018-2019
08,2018,Diabetes,Algerian,3,209,2018-08-01,2018 Q2,2018-2019
09,2018,Diabetes,Algerian,3,212,2018-09-01,2018 Q3,2018-2019
10,2018,Diabetes,Algerian,2,214,2018-10-01,2018 Q3,2018-2019
11,2018,Diabetes,Algerian,6,220,2018-11-01,2018 Q3,2018-2019
12,2018,Diabetes,Algerian,4,224,2018-12-01,2018 Q3,2018-2019
03,2019,Diabetes,Algerian,2,226,2019-03-01,2019 Q1,2018-2019
06,2019,Diabetes,Algerian,1,227,2019-06-01,2019 Q2,2018-2019
07,2019,Diabetes,Algerian,1,228,2019-07-01,2019 Q2,2018-2019
08,2019,Diabetes,Algerian,1,229,2019-08-01,2019 Q2,2018-2019
10,2019,Diabetes,Algerian,1,230,2019-10-01,2019 Q3,2018-2019
09,2020,Diabetes,Algerian,2,232,2020-09-01,2020 Q3,2020-2021
03,2021,Diabetes,Algerian,1,233,2021-03-01,2021 Q1,2020-2021
01,2009,Dyslipidemia,Algerian,4,4,2009-01-01,2009 Q1,2008-2009
02,2009,Dyslipidemia,Algerian,3,7,2009-02-01,2009 Q1,2008-2009
03,2009,Dyslipidemia,Algerian,5,12,2009-03-01,2009 Q1,2008-2009
04,2009,Dyslipidemia,Algerian,5,17,2009-04-01,2009 Q1,2008-2009
05,2009,Dyslipidemia,Algerian,2,19,2009-05-01,2009 Q2,2008-2009
06,2009,Dyslipidemia,Algerian,5,24,2009-06-01,2009 Q2,2008-2009
07,2009,Dyslipidemia,Algerian,2,26,2009-07-01,2009 Q2,2008-2009
08,2009,Dyslipidemia,Algerian,3,29,2009-08-01,2009 Q2,2008-2009
09,2009,Dyslipidemia,Algerian,2,31,2009-09-01,2009 Q3,2008-2009
10,2009,Dyslipidemia,Algerian,4,35,2009-10-01,2009 Q3,2008-2009
11,2009,Dyslipidemia,Algerian,3,38,2009-11-01,2009 Q3,2008-2009
12,2009,Dyslipidemia,Algerian,3,41,2009-12-01,2009 Q3,2008-2009
04,2010,Dyslipidemia,Algerian,1,42,2010-04-01,2010 Q1,2010-2011
05,2010,Dyslipidemia,Algerian,1,43,2010-05-01,2010 Q2,2010-2011
06,2010,Dyslipidemia,Algerian,1,44,2010-06-01,2010 Q2,2010-2011
08,2010,Dyslipidemia,Algerian,1,45,2010-08-01,2010 Q2,2010-2011
09,2010,Dyslipidemia,Algerian,1,46,2010-09-01,2010 Q3,2010-2011
12,2010,Dyslipidemia,Algerian,2,48,2010-12-01,2010 Q3,2010-2011
02,2011,Dyslipidemia,Algerian,2,50,2011-02-01,2011 Q1,2010-2011
05,2011,Dyslipidemia,Algerian,1,51,2011-05-01,2011 Q2,2010-2011
07,2011,Dyslipidemia,Algerian,1,52,2011-07-01,2011 Q2,2010-2011
12,2011,Dyslipidemia,Algerian,1,53,2011-12-01,2011 Q3,2010-2011
01,2012,Dyslipidemia,Algerian,2,55,2012-01-01,2012 Q1,2012-2013
02,2012,Dyslipidemia,Algerian,2,57,2012-02-01,2012 Q1,2012-2013
04,2012,Dyslipidemia,Algerian,3,60,2012-04-01,2012 Q1,2012-2013
05,2012,Dyslipidemia,Algerian,2,62,2012-05-01,2012 Q2,2012-2013
06,2012,Dyslipidemia,Algerian,1,63,2012-06-01,2012 Q2,2012-2013
07,2012,Dyslipidemia,Algerian,2,65,2012-07-01,2012 Q2,2012-2013
08,2012,Dyslipidemia,Algerian,1,66,2012-08-01,2012 Q2,2012-2013
09,2012,Dyslipidemia,Algerian,3,69,2012-09-01,2012 Q3,2012-2013
10,2012,Dyslipidemia,Algerian,3,72,2012-10-01,2012 Q3,2012-2013
11,2012,Dyslipidemia,Algerian,2,74,2012-11-01,2012 Q3,2012-2013
12,2012,Dyslipidemia,Algerian,3,77,2012-12-01,2012 Q3,2012-2013
01,2013,Dyslipidemia,Algerian,2,79,2013-01-01,2013 Q1,2012-2013
01,2014,Dyslipidemia,Algerian,1,80,2014-01-01,2014 Q1,2014-2015
04,2014,Dyslipidemia,Algerian,1,81,2014-04-01,2014 Q1,2014-2015
05,2014,Dyslipidemia,Algerian,1,82,2014-05-01,2014 Q2,2014-2015
07,2014,Dyslipidemia,Algerian,1,83,2014-07-01,2014 Q2,2014-2015
09,2014,Dyslipidemia,Algerian,1,84,2014-09-01,2014 Q3,2014-2015
01,2015,Dyslipidemia,Algerian,6,90,2015-01-01,2015 Q1,2014-2015
02,2015,Dyslipidemia,Algerian,5,95,2015-02-01,2015 Q1,2014-2015
03,2015,Dyslipidemia,Algerian,2,97,2015-03-01,2015 Q1,2014-2015
04,2015,Dyslipidemia,Algerian,2,99,2015-04-01,2015 Q1,2014-2015
05,2015,Dyslipidemia,Algerian,1,100,2015-05-01,2015 Q2,2014-2015
06,2015,Dyslipidemia,Algerian,4,104,2015-06-01,2015 Q2,2014-2015
07,2015,Dyslipidemia,Algerian,4,108,2015-07-01,2015 Q2,2014-2015
08,2015,Dyslipidemia,Algerian,2,110,2015-08-01,2015 Q2,2014-2015
09,2015,Dyslipidemia,Algerian,5,115,2015-09-01,2015 Q3,2014-2015
10,2015,Dyslipidemia,Algerian,3,118,2015-10-01,2015 Q3,2014-2015
11,2015,Dyslipidemia,Algerian,5,123,2015-11-01,2015 Q3,2014-2015
12,2015,Dyslipidemia,Algerian,6,129,2015-12-01,2015 Q3,2014-2015
01,2016,Dyslipidemia,Algerian,4,133,2016-01-01,2016 Q1,2016-2017
03,2016,Dyslipidemia,Algerian,1,134,2016-03-01,2016 Q1,2016-2017
04,2016,Dyslipidemia,Algerian,1,135,2016-04-01,2016 Q1,2016-2017
05,2016,Dyslipidemia,Algerian,3,138,2016-05-01,2016 Q2,2016-2017
06,2016,Dyslipidemia,Algerian,3,141,2016-06-01,2016 Q2,2016-2017
07,2016,Dyslipidemia,Algerian,2,143,2016-07-01,2016 Q2,2016-2017
09,2016,Dyslipidemia,Algerian,2,145,2016-09-01,2016 Q3,2016-2017
10,2016,Dyslipidemia,Algerian,1,146,2016-10-01,2016 Q3,2016-2017
11,2016,Dyslipidemia,Algerian,2,148,2016-11-01,2016 Q3,2016-2017
01,2017,Dyslipidemia,Algerian,2,150,2017-01-01,2017 Q1,2016-2017
02,2017,Dyslipidemia,Algerian,2,152,2017-02-01,2017 Q1,2016-2017
04,2017,Dyslipidemia,Algerian,2,154,2017-04-01,2017 Q1,2016-2017
05,2017,Dyslipidemia,Algerian,2,156,2017-05-01,2017 Q2,2016-2017
06,2017,Dyslipidemia,Algerian,6,162,2017-06-01,2017 Q2,2016-2017
08,2017,Dyslipidemia,Algerian,2,164,2017-08-01,2017 Q2,2016-2017
09,2017,Dyslipidemia,Algerian,2,166,2017-09-01,2017 Q3,2016-2017
10,2017,Dyslipidemia,Algerian,2,168,2017-10-01,2017 Q3,2016-2017
12,2017,Dyslipidemia,Algerian,1,169,2017-12-01,2017 Q3,2016-2017
01,2018,Dyslipidemia,Algerian,13,182,2018-01-01,2018 Q1,2018-2019
02,2018,Dyslipidemia,Algerian,9,191,2018-02-01,2018 Q1,2018-2019
03,2018,Dyslipidemia,Algerian,5,196,2018-03-01,2018 Q1,2018-2019
04,2018,Dyslipidemia,Algerian,9,205,2018-04-01,2018 Q1,2018-2019
05,2018,Dyslipidemia,Algerian,6,211,2018-05-01,2018 Q2,2018-2019
06,2018,Dyslipidemia,Algerian,10,221,2018-06-01,2018 Q2,2018-2019
07,2018,Dyslipidemia,Algerian,5,226,2018-07-01,2018 Q2,2018-2019
08,2018,Dyslipidemia,Algerian,11,237,2018-08-01,2018 Q2,2018-2019
09,2018,Dyslipidemia,Algerian,10,247,2018-09-01,2018 Q3,2018-2019
10,2018,Dyslipidemia,Algerian,2,249,2018-10-01,2018 Q3,2018-2019
11,2018,Dyslipidemia,Algerian,8,257,2018-11-01,2018 Q3,2018-2019
12,2018,Dyslipidemia,Algerian,5,262,2018-12-01,2018 Q3,2018-2019
02,2019,Dyslipidemia,Algerian,1,263,2019-02-01,2019 Q1,2018-2019
03,2019,Dyslipidemia,Algerian,1,264,2019-03-01,2019 Q1,2018-2019
05,2019,Dyslipidemia,Algerian,2,266,2019-05-01,2019 Q2,2018-2019
06,2019,Dyslipidemia,Algerian,3,269,2019-06-01,2019 Q2,2018-2019
07,2019,Dyslipidemia,Algerian,2,271,2019-07-01,2019 Q2,2018-2019
09,2019,Dyslipidemia,Algerian,2,273,2019-09-01,2019 Q3,2018-2019
10,2019,Dyslipidemia,Algerian,1,274,2019-10-01,2019 Q3,2018-2019
12,2019,Dyslipidemia,Algerian,1,275,2019-12-01,2019 Q3,2018-2019
05,2020,Dyslipidemia,Algerian,1,276,2020-05-01,2020 Q2,2020-2021
09,2020,Dyslipidemia,Algerian,1,277,2020-09-01,2020 Q3,2020-2021
01,2009,Heart disease,Algerian,10,10,2009-01-01,2009 Q1,2008-2009
02,2009,Heart disease,Algerian,10,20,2009-02-01,2009 Q1,2008-2009
03,2009,Heart disease,Algerian,12,32,2009-03-01,2009 Q1,2008-2009
04,2009,Heart disease,Algerian,10,42,2009-04-01,2009 Q1,2008-2009
05,2009,Heart disease,Algerian,9,51,2009-05-01,2009 Q2,2008-2009
06,2009,Heart disease,Algerian,13,64,2009-06-01,2009 Q2,2008-2009
07,2009,Heart disease,Algerian,11,75,2009-07-01,2009 Q2,2008-2009
08,2009,Heart disease,Algerian,15,90,2009-08-01,2009 Q2,2008-2009
09,2009,Heart disease,Algerian,11,101,2009-09-01,2009 Q3,2008-2009
10,2009,Heart disease,Algerian,16,117,2009-10-01,2009 Q3,2008-2009
11,2009,Heart disease,Algerian,10,127,2009-11-01,2009 Q3,2008-2009
12,2009,Heart disease,Algerian,10,137,2009-12-01,2009 Q3,2008-2009
02,2010,Heart disease,Algerian,4,141,2010-02-01,2010 Q1,2010-2011
03,2010,Heart disease,Algerian,1,142,2010-03-01,2010 Q1,2010-2011
06,2010,Heart disease,Algerian,1,143,2010-06-01,2010 Q2,2010-2011
07,2010,Heart disease,Algerian,2,145,2010-07-01,2010 Q2,2010-2011
08,2010,Heart disease,Algerian,2,147,2010-08-01,2010 Q2,2010-2011
09,2010,Heart disease,Algerian,1,148,2010-09-01,2010 Q3,2010-2011
10,2010,Heart disease,Algerian,1,149,2010-10-01,2010 Q3,2010-2011
11,2010,Heart disease,Algerian,2,151,2010-11-01,2010 Q3,2010-2011
12,2010,Heart disease,Algerian,1,152,2010-12-01,2010 Q3,2010-2011
05,2011,Heart disease,Algerian,1,153,2011-05-01,2011 Q2,2010-2011
07,2011,Heart disease,Algerian,1,154,2011-07-01,2011 Q2,2010-2011
08,2011,Heart disease,Algerian,1,155,2011-08-01,2011 Q2,2010-2011
11,2011,Heart disease,Algerian,2,157,2011-11-01,2011 Q3,2010-2011
12,2011,Heart disease,Algerian,1,158,2011-12-01,2011 Q3,2010-2011
01,2012,Heart disease,Algerian,7,165,2012-01-01,2012 Q1,2012-2013
02,2012,Heart disease,Algerian,6,171,2012-02-01,2012 Q1,2012-2013
03,2012,Heart disease,Algerian,10,181,2012-03-01,2012 Q1,2012-2013
04,2012,Heart disease,Algerian,10,191,2012-04-01,2012 Q1,2012-2013
05,2012,Heart disease,Algerian,4,195,2012-05-01,2012 Q2,2012-2013
06,2012,Heart disease,Algerian,3,198,2012-06-01,2012 Q2,2012-2013
07,2012,Heart disease,Algerian,8,206,2012-07-01,2012 Q2,2012-2013
08,2012,Heart disease,Algerian,9,215,2012-08-01,2012 Q2,2012-2013
09,2012,Heart disease,Algerian,10,225,2012-09-01,2012 Q3,2012-2013
10,2012,Heart disease,Algerian,10,235,2012-10-01,2012 Q3,2012-2013
11,2012,Heart disease,Algerian,6,241,2012-11-01,2012 Q3,2012-2013
12,2012,Heart disease,Algerian,6,247,2012-12-01,2012 Q3,2012-2013
01,2013,Heart disease,Algerian,1,248,2013-01-01,2013 Q1,2012-2013
03,2013,Heart disease,Algerian,1,249,2013-03-01,2013 Q1,2012-2013
05,2013,Heart disease,Algerian,1,250,2013-05-01,2013 Q2,2012-2013
07,2013,Heart disease,Algerian,2,252,2013-07-01,2013 Q2,2012-2013
08,2013,Heart disease,Algerian,1,253,2013-08-01,2013 Q2,2012-2013
09,2013,Heart disease,Algerian,1,254,2013-09-01,2013 Q3,2012-2013
10,2013,Heart disease,Algerian,1,255,2013-10-01,2013 Q3,2012-2013
11,2013,Heart disease,Algerian,1,256,2013-11-01,2013 Q3,2012-2013
12,2013,Heart disease,Algerian,1,257,2013-12-01,2013 Q3,2012-2013
01,2014,Heart disease,Algerian,1,258,2014-01-01,2014 Q1,2014-2015
06,2014,Heart disease,Algerian,3,261,2014-06-01,2014 Q2,2014-2015
07,2014,Heart disease,Algerian,1,262,2014-07-01,2014 Q2,2014-2015
08,2014,Heart disease,Algerian,2,264,2014-08-01,2014 Q2,2014-2015
10,2014,Heart disease,Algerian,1,265,2014-10-01,2014 Q3,2014-2015
11,2014,Heart disease,Algerian,1,266,2014-11-01,2014 Q3,2014-2015
12,2014,Heart disease,Algerian,1,267,2014-12-01,2014 Q3,2014-2015
01,2015,Heart disease,Algerian,9,276,2015-01-01,2015 Q1,2014-2015
02,2015,Heart disease,Algerian,8,284,2015-02-01,2015 Q1,2014-2015
03,2015,Heart disease,Algerian,9,293,2015-03-01,2015 Q1,2014-2015
04,2015,Heart disease,Algerian,6,299,2015-04-01,2015 Q1,2014-2015
05,2015,Heart disease,Algerian,6,305,2015-05-01,2015 Q2,2014-2015
06,2015,Heart disease,Algerian,6,311,2015-06-01,2015 Q2,2014-2015
07,2015,Heart disease,Algerian,6,317,2015-07-01,2015 Q2,2014-2015
08,2015,Heart disease,Algerian,6,323,2015-08-01,2015 Q2,2014-2015
09,2015,Heart disease,Algerian,16,339,2015-09-01,2015 Q3,2014-2015
10,2015,Heart disease,Algerian,5,344,2015-10-01,2015 Q3,2014-2015
11,2015,Heart disease,Algerian,6,350,2015-11-01,2015 Q3,2014-2015
12,2015,Heart disease,Algerian,11,361,2015-12-01,2015 Q3,2014-2015
01,2016,Heart disease,Algerian,1,362,2016-01-01,2016 Q1,2016-2017
02,2016,Heart disease,Algerian,1,363,2016-02-01,2016 Q1,2016-2017
03,2016,Heart disease,Algerian,1,364,2016-03-01,2016 Q1,2016-2017
04,2016,Heart disease,Algerian,2,366,2016-04-01,2016 Q1,2016-2017
05,2016,Heart disease,Algerian,2,368,2016-05-01,2016 Q2,2016-2017
06,2016,Heart disease,Algerian,2,370,2016-06-01,2016 Q2,2016-2017
07,2016,Heart disease,Algerian,2,372,2016-07-01,2016 Q2,2016-2017
01,2017,Heart disease,Algerian,2,374,2017-01-01,2017 Q1,2016-2017
02,2017,Heart disease,Algerian,2,376,2017-02-01,2017 Q1,2016-2017
03,2017,Heart disease,Algerian,1,377,2017-03-01,2017 Q1,2016-2017
04,2017,Heart disease,Algerian,1,378,2017-04-01,2017 Q1,2016-2017
05,2017,Heart disease,Algerian,1,379,2017-05-01,2017 Q2,2016-2017
08,2017,Heart disease,Algerian,2,381,2017-08-01,2017 Q2,2016-2017
10,2017,Heart disease,Algerian,1,382,2017-10-01,2017 Q3,2016-2017
01,2018,Heart disease,Algerian,16,398,2018-01-01,2018 Q1,2018-2019
02,2018,Heart disease,Algerian,10,408,2018-02-01,2018 Q1,2018-2019
03,2018,Heart disease,Algerian,3,411,2018-03-01,2018 Q1,2018-2019
04,2018,Heart disease,Algerian,12,423,2018-04-01,2018 Q1,2018-2019
05,2018,Heart disease,Algerian,7,430,2018-05-01,2018 Q2,2018-2019
06,2018,Heart disease,Algerian,10,440,2018-06-01,2018 Q2,2018-2019
07,2018,Heart disease,Algerian,9,449,2018-07-01,2018 Q2,2018-2019
08,2018,Heart disease,Algerian,11,460,2018-08-01,2018 Q2,2018-2019
09,2018,Heart disease,Algerian,10,470,2018-09-01,2018 Q3,2018-2019
